Task, Person, Person, Person,
Beskrivning av Foundation & Principles, MH, 
VPDS Utbildning -Film, MA,
VPDS Utbildning - Intro kurs, MA,
Product development methods, MLindh, TM, MP,
Utbilda nya lärare i VPDS-Intro kurs, MA,
Uppdatera VPDS Pocket Card från 1.1 till 1.2., MA,
Townhall autumn 2016-concept-content-execution, MLinton,
SW Development System based on agile principles, MH, ALL, JBS,
PLM Strategy, JS,
Systems Engineering Program management, JS, 
Analysera våra projekt - definiera ett antal nyckeltal, MLindh
Strategi Collaboration - verktygsperspektiv, HE, JS
Update request to move Program finance decision from PA to PC, TM,
Utred potential att integrera learning tasks i FLOW med Wiki Design Guidelines, HE,
How to pilot KBPD in Product Projects, HE,
Genomförande av Volvo Enterprice Search, HE,
PD Process Audit activities, TM,
Coaching av GAD (KERS Gen2) projektet som testar RLC, HE,
Pilot AD, MLinton,
Develop agile/plan-driven assumption model ,JBS,
PD China Transformation, PM,
Provplanering i LEQM, MLindh, PM,
Jobbrelaterad stress, MLindh, MH,
Close knowledge gaps in early phase, MLindh, MA,
Tema Learning. Introduktion av Lärande Organisation, HE, MH,
